variant,triangles,regimen,seed,target,generation,best_fitness,best_global_fitness,mean_fitness,std_fitness,diversity,stalled,structure_stable,share_unchanged,evaluations,elapsed
800 tri · pm fijo,800,pm fijo,3,compleja,99,0.8861275934488494,0.8873538820083821,0.882143931070962,0.0029215379955519452,0.028537004818767683,5,0,0.0,8000,44.37852900009602
800 tri · pm fijo,800,pm fijo,3,compleja,100,0.8872414388868117,0.8873538820083821,0.8825837441970729,0.002556759535323893,0.028717745506844986,6,0,0.0,8080,44.86658274999354
800 tri · pm fijo,800,pm fijo,3,compleja,101,0.8873926598018611,0.8873926598018611,0.8832333557412735,0.0023892726911436397,0.0288864777082997,0,0,0.0,8160,45.360883709043264
800 tri · pm fijo,800,pm fijo,3,compleja,102,0.8865297483518794,0.8873926598018611,0.8823586844151382,0.0034727809780840083,0.029220347903096848,1,0,0.0,8240,45.877380250021815
800 tri · pm fijo,800,pm fijo,3,compleja,103,0.8862074044207869,0.8873926598018611,0.8825025324810263,0.0030712119526507013,0.028684890568690776,2,0,0.0,8320,46.37176091701258
800 tri · pm fijo,800,pm fijo,3,compleja,104,0.8860305846287415,0.8873926598018611,0.8822435764258835,0.0029008244835798673,0.029148305168269977,3,0,0.0,8400,46.86055108404253
800 tri · pm fijo,800,pm fijo,3,compleja,105,0.8868507378763241,0.8873926598018611,0.8824566113814065,0.0027953718538488155,0.029002867375479968,4,0,0.0,8480,47.34170695906505
800 tri · pm fijo,800,pm fijo,3,compleja,106,0.8865881602182102,0.8873926598018611,0.8829068208729355,0.0029124677211255436,0.029411058006940452,5,0,0.0,8560,47.86362716706935
800 tri · pm fijo,800,pm fijo,3,compleja,107,0.8877832189814776,0.8877832189814776,0.8835664952079842,0.0022395691648433376,0.029354137125301726,0,0,0.0,8640,48.351346209063195
800 tri · pm fijo,800,pm fijo,3,compleja,108,0.8871629077645343,0.8877832189814776,0.8836098780496506,0.0024575410185863717,0.02917136511549957,1,0,0.0,8720,48.78993929200806
800 tri · pm fijo,800,pm fijo,3,compleja,109,0.8873563707225639,0.8877832189814776,0.8834601141337917,0.0022572702842862447,0.029376895859857484,2,0,0.0,8800,49.22802329203114
800 tri · pm fijo,800,pm fijo,3,compleja,110,0.8878877478708846,0.8878877478708846,0.8825740476945685,0.0037875412449517734,0.029686491347894955,0,0,0.0,8880,49.688352875062265
800 tri · pm fijo,800,pm fijo,3,compleja,111,0.8876115093103116,0.8878877478708846,0.8836640825703542,0.0023971110234783048,0.029523691992240045,1,0,0.0,8960,50.1874346670229
800 tri · pm fijo,800,pm fijo,3,compleja,112,0.8873419381929305,0.8878877478708846,0.8840531666580398,0.002415386222878749,0.029151512015472683,2,0,0.0,9040,50.702312499983236
800 tri · pm fijo,800,pm fijo,3,compleja,113,0.8883141703694285,0.8883141703694285,0.8841110717833491,0.002859196407234917,0.028699179375107235,0,0,0.0,9120,51.20699187507853
800 tri · pm fijo,800,pm fijo,3,compleja,114,0.8874869650206645,0.8883141703694285,0.883715859682539,0.0029606305694265134,0.028894841211929357,1,0,0.0,9200,51.73761595902033
800 tri · pm fijo,800,pm fijo,3,compleja,115,0.8880966213888059,0.8883141703694285,0.8839532359060815,0.0028601754086141178,0.029067497470271514,2,0,0.0,9280,52.248761250055395
800 tri · pm fijo,800,pm fijo,3,compleja,116,0.8885324874612196,0.8885324874612196,0.8837965823003978,0.003367664881095474,0.029573025477721268,0,0,0.0,9360,52.737093417090364
800 tri · pm fijo,800,pm fijo,3,compleja,117,0.8881602302327394,0.8885324874612196,0.8842323514226393,0.002272955977704509,0.030049000319810892,1,0,0.0,9440,53.300023167044856
800 tri · pm fijo,800,pm fijo,3,compleja,118,0.8881251680413751,0.8885324874612196,0.8840050937618458,0.002687204242156798,0.030332336892034944,2,0,0.0,9520,53.82879133406095
800 tri · pm fijo,800,pm fijo,3,compleja,119,0.88779510331847,0.8885324874612196,0.8835400188562572,0.003538235955045573,0.030388674640360772,3,0,0.0,9600,54.33616325003095
800 tri · pm fijo,800,pm fijo,3,compleja,120,0.8886086347949447,0.8886086347949447,0.8837220433616642,0.0032215304064568285,0.03007662989762295,0,0,0.0,9680,54.81964566698298
800 tri · pm fijo,800,pm fijo,3,compleja,121,0.8885248733827003,0.8886086347949447,0.884149809774771,0.002434059096738949,0.030328889507566317,1,0,0.0,9760,55.314932417008094
